,Last Name,First Name,Position,Team,Points Per Game,Total FG %,Total Points Scored
133,Daniels,Troy,SG,DEN,4.2,39.2,174
127,Craig,Torrey,SG,DEN,5,46.2,248
29,Bates-Diop,Keita,SF,DEN,6.8,42.2,251
441,Porter Jr.,Michael,SF,DEN,7.5,49.5,358
435,Plumlee,Mason,C,DEN,7.2,61.7,380
371,Millsap,Paul,PF,DEN,12,48.6,529
383,Morris,Monte,SG,DEN,8.4,45.9,549
223,Harris,Gary,SG,DEN,10.4,42,581
202,Grant,Jerami,PF,DEN,11.6,47.2,740
28,Barton,Will,SG,DEN,14.8,45,876
391,Murray,Jamal,PG,DEN,18.8,45.5,1033
288,Jokic,Nikola,C,DEN,20.2,52.8,1313
537,Walton Jr.,Derrick,PG,DET,1,33.3,3
215,Hall,Donta,SF,DET,1.5,25,6
362,McRae,Jordan,SG,DET,2.2,33.3,9
57,Bone,Jordan,PG,DET,1.2,25,12
505,Thomas,Khyri,SG,DET,2.1,29.4,17
301,King,Louis,SF,DET,2,38.1,20
363,McRae,Jordan,SG,DET,11.8,32.6,47
536,Walton Jr.,Derrick,PG,DET,2.2,47.2,50
233,Henson,John,PF,DET,6.9,66.7,76
303,Knight,Brandon,SG,DET,4.9,32.6,79
304,Knight,Brandon,SG,DET,11.6,38.3,104
232,Henson,John,PF,DET,5,50.8,145
151,Doumbouya,Sekou,SF,DET,6.4,39,243
210,Griffin,Blake,PF,DET,15.5,35.2,279
340,Maker,Thon,C,DET,4.7,48.2,281
361,McRae,Jordan,SG,DET,12.8,42,370
297,Kennard,Luke,SG,DET,15.8,44.2,442
493,Snell,Tony,SG,DET,8,44.5,474
394,Mykhailiuk,Svi,SF,DET,9,41,504
73,Brown,Bruce,SG,DET,8.9,44.3,517
187,Galloway,Langston,PG,DET,10.2,43.5,676
563,Wood,Christian,PF,DET,13.1,56.7,811
465,Rose,Derrick,PG,DET,18.1,49,904
403,Norvell Jr.,Zach,SG,GSW,0,0,0
448,Randle,Chasson,PG,GSW,1.7,0,5
388,Mulder,Mychal,SG,GSW,6,66.7,6
404,Norvell Jr.,Zach,SG,GSW,3.3,27.3,10
422,Pargo,Jeremy,PG,GSW,8.3,50,25
43,Bender,Dragan,PF,GSW,3.7,47.6,26
488,Smailagic,Alen,PF,GSW,4.2,50,59
329,Looney,Kevon,C,GSW,3.4,36.7,68
512,Toscano-Anderson,Juan,F,GSW,5.3,46,69
389,Mulder,Mychal,SG,GSW,11,38.8,77
44,Bender,Dragan,PF,GSW,9,43.7,81
132,Curry,Stephen,PG,GSW,20.8,40.2,104
551,Wiggins,Andrew,SG,GSW,19.4,45.7,233
62,Bowman,Ky,PG,GSW,7.4,41.7,335
205,Green,Draymond,PF,GSW,8,39,345
439,Poole,Jordan,SG,GSW,8.8,33.3,503
107,Chriss,Marquese,PF,GSW,9.3,54.4,548
321,Lee,Damion,SG,GSW,12.7,41.7,621
426,Paschall,Eric,PF,GSW,14,49.6,837
550,Wiggins,Andrew,SG,GSW,22.4,44.4,942
256,Howard,William,SF,HOU,0,0,0
88,Caboclo,Bruno,SF,HOU,2,50,10
179,Frazier,Michael,PG,HOU,1.8,36.4,14
92,Carroll,DeMarre,SF,HOU,2.2,31,33
101,Chandler,Tyson,C,HOU,1.3,77.8,34
93,Carroll,DeMarre,SF,HOU,6.7,48,40
87,Caboclo,Bruno,SF,HOU,2.8,40.6,62
479,Sefolosha,Thabo,SF,HOU,2.2,40.7,92
209,Green,Jeff,SF,HOU,10.4,62.1,104
228,Hartenstein,Isaiah,PF,HOU,4.7,65.7,107
114,Clemons,Chris,PG,HOU,4.9,40.5,141
124,Covington,Robert,SF,HOU,12.8,42.1,179
208,Green,Jeff,SF,HOU,7.8,38.5,233
516,Tucker,P.J.,SF,HOU,7.1,43.3,456
198,Gordon,Eric,SG,HOU,14.5,37,494
455,Rivers,Austin,SG,HOU,8.4,42.1,507
254,House Jr.,Danuel,F,HOU,10.2,42.7,593
123,Covington,Robert,SF,HOU,12.8,43.5,615
360,McLemore,Ben,SG,HOU,9.8,44.5,619
546,Westbrook,Russell,PG,HOU,27.5,47.4,1456
218,Harden,James,SG,HOU,34.4,43.5,2096
61,Bowen II,Brian,SF,IND,0.8,22.2,4
374,Mitrou-Long,Naz,G,IND,4.7,37.5,14
280,Johnson,Alize,SF,IND,1.4,46.7,18
318,Leaf,TJ,PF,IND,2.9,43.5,72
473,Sampson,JaKarr,SF,IND,4.2,59.3,109
496,Sumner,Edmond,PG,IND,4.6,42.3,114
48,Bitadze,Goga,C,IND,3.1,47.3,152
414,Oladipo,Victor,SG,IND,13.8,39.1,179
