,Last Name,First Name,Position,Team,Total FG %,Total Points Scored
23,Ball,Lonzo,PG,NOP,41.2,695.0
452,Redick,JJ,SG,NOP,45.0,805.0
247,Holiday,Jrue,SG,NOP,45.2,1076.0
264,Ingram,Brandon,SF,NOP,46.6,1358.0
66,Brazdeikis,Ignas,SF,NYK,27.3,17.0
6,Allen,Kadeem,SG,NYK,43.2,50.0
220,Harkless,Maurice,SF,NYK,45.5,82.0
515,Trier,Allonzo,SG,NYK,48.1,155.0
160,Ellington,Wayne,SG,NYK,35.1,183.0
492,Smith Jr.,Dennis,PG,NYK,34.1,187.0
81,Bullock,Reggie,SF,NYK,40.2,234.0
219,Harkless,Maurice,SF,NYK,51.6,275.0
150,Dotson,Damyean,SG,NYK,41.4,320.0
406,Ntilikina,Frank,PG,NYK,39.3,357.0
192,Gibson,Taj,PF,NYK,58.4,379.0
305,Knox II,Kevin,PF,NYK,35.9,420.0
431,Payton,Elfrid,PG,NYK,43.9,449.0
460,Robinson,Mitchell,C,NYK,74.2,590.0
443,Portis,Bobby,PF,NYK,45.0,668.0
27,Barrett,RJ,SG,NYK,40.2,803.0
449,Randle,Julius,C,NYK,46.1,1248.0
463,Roby,Isaiah,SF,OKL,0.0,0.0
239,Hervey,Kevin,PF,OKL,9.1,2.0
122,Cook,Tyler,PF,OKL,70.0,19.0
85,Burton,Deonte,SG,OKL,37.1,94.0
149,Dort,Luguentz,SG,OKL,41.1,180.0
393,Muscala,Mike,C,OKL,40.3,189.0
172,Ferguson,Terrance,SG,OKL,37.2,209.0
143,Diallo,Hamidou,SG,OKL,45.2,233.0
35,Bazley,Darius,PF,OKL,38.3,238.0
395,Nader,Abdel,SF,OKL,45.5,287.0
402,Noel,Nerlens,C,OKL,68.5,424.0
0,Adams,Steven,C,OKL,59.1,633.0
186,Gallinari,Danilo,SF,OKL,43.9,1057.0
430,Paul,Chris,PG,OKL,48.9,1114.0
477,Schroder,Dennis,SG,OKL,46.7,1199.0
194,Gilgeous-Alexander,Shai,PG,OKL,47.4,1216.0
316,Law,Vic,PG,ORL,0.0,0.0
338,Magette,Josh,PG,ORL,33.3,12.0
181,Frazier Jr.,Melvin,SF,ORL,35.3,18.0
109,Clark,Gary,PF,ORL,35.7,42.0
108,Clark,Gary,PF,ORL,39.0,70.0
7,Aminu,Al-Farouq,PF,ORL,29.1,78.0
163,Ennis III,James,SF,ORL,41.2,81.0
47,Birch,Khem,C,ORL,48.7,153.0
267,Iwundu,Wes,SF,ORL,39.9,237.0
162,Ennis III,James,SF,ORL,44.2,285.0
270,Jackson,Justin,SF,ORL,39.7,298.0
97,Carter-Williams,Michael,PG,ORL,43.4,302.0
24,Bamba,Mo,C,ORL,46.8,332.0
266,Isaac,Jonathan,F,ORL,46.3,384.0
19,Augustin,D.J.,PG,ORL,39.3,511.0
182,Fultz,Markelle,SG,ORL,47.3,772.0
197,Gordon,Aaron,PF,ORL,43.3,833.0
466,Ross,Terrence,SG,ORL,40.7,930.0
529,Vucevic,Nikola,C,ORL,47.0,1052.0
177,Fournier,Evan,SG,ORL,46.9,1149.0
